ID,Label,Type,Emperor,Title
Vespasian CXIII,Vespasian CXIII,Book,Vespasian,
Nero DXI,Nero DXI,Book,Nero,
Otho DIX,Otho DIX,Book,Otho,
Nero DI,Nero DI,Book,Nero,
Titus EIII,Titus EIII,Book,Titus,
Cleopatra AVII,Cleopatra AVII,Book,Cleopatra,
Cleopatra DIII,Cleopatra DIII,Book,Cleopatra,
Galba EIV,Galba EIV,Book,Galba,
Claudius BVIII,Claudius BVIII,Book,Claudius,
Domitian XII,Domitian AXII,Book,Domitian,
Titus AI,Titus AI,Book,Titus,
Caligula DXI,Caligula DXI,Book,Caligula,
Vitellius EXIV,Vitellius EXIV,Book,Vitellius,
Julius FVI,Julius FVI,Book,Julius,
Otho AXVII,Otho AXVII,Book,Otho,
Titus CI,Titus CI,Book,Titus,
Caligula BX,Caligula BX,Book,Caligula,
Nero AI,Nero AI,Book,Nero,
Titus AVIII,Titus AVIII,Book,Titus,
Tiberius AXIV,Tiberius AXIV,Book,Tiberius,
Julius BVIII,Julius BVIII,Book,Julius,
Faustina BIX,Faustina BIX,Book,Faustina,
Galba CVIII,Galba CVIII,Book,Galba,
Titus AXV,Titus AXV,Book,Titus,
Galba BXII,Galba BXII,Book,Galba,
Nero CIV,Nero CIV,Book,Nero,
Vespasian EXI,Vespasian EXI,Book,Vespasian,
Otho DVIII,Otho DVIII,Book,Otho,
Cleopatra AXVI,Cleopatra AXVI,Book,Cleopatra,
Claudius CXI,Claudius CXI,Book,Claudius,
Otho DIII,Otho DIII,Book,Otho,
Cleopatra CIII,Cleopatra CIII,Book,Cleopatra,
Julius DVII,Julius DVII,Book,Julius,
Tiberius CXI,Tiberius CXI,Book,Tiberius,
Claudius AV,Claudius AV,Book,Claudius,
Nero CVII,Nero CVII,Book,Nero,
Tiberius AXIII,Tiberius AXIII,Book,Tiberius,
Tiberius BV,Tiberius BV,Book,Tiberius,
Titus DXIX,Titus DXIX,Book,Titus,
Claudius AVIII,Claudius AVIII,Book,Claudius,
Vitellius EXV,Vitellius EXV,Book,Vitellius,
Titus DIX,Titus DIX,Book,Titus,
Nero BV,Nero BV,Book,Nero,
Galba EVI,Galba EVI,Book,Galba,
Vitellius DXIII,Vitellius DXIII,Book,Vitellius,
Faustina EV,Faustina EV,Book,Faustina,
Otho DVII,Otho DVII,Book,Otho,
Caligula AXV,Caligula AXV,Book,Caligula,
Titus EIV,Titus EIV,Book,Titus,
Claudius DII,Claudius DII,Book,Claudius,
Vitellius DXV,Vitellius DXV,Book,Vitellius,
Vitellius AIII,Vitellius AIII,Book,Vitellius,
Titus AII,Titus AII,Book,Titus,
Vespasian FVI,Vespasian FVI,Book,Vespasian,
Cleopatra BIX,Cleopatra BIX,Book,Cleopatra,
Vitellius FIX,Vitellius FIX,Book,Vitellius,
Otho AI,Otho AI,Book,Otho,
Faustina AIII,Faustina AIII,Book,Faustina,
Titus BV,Titus BV,Book,Titus,
Caligula AXIII,Caligula AXIII,Book,Caligula,
Titus FIII,Titus FIII,Book,Titus,
Claudius DIX,Claudius DIX,Book,Claudius,
Claudius AVI,Claudius AVI,Book,Claudius,
Caligula EVI,Caligula EVI,Book,Caligula,
Vitellius CXVI,Vitellius CXVI,Book,Vitellius,
Tiberius CXIII,Tiberius CXIII,Book,Tiberius,
Vespasian AXVIII,Vespasian AXVIII,Book,Vespasian,
Vespasian BXXV,Vespasian BXXV,Book,Vespasian,
Claudius DI,Claudius DI,Book,Claudius,
Vitellius AXIII,Vitellius AXIII,Book,Vitellius,
Tiberius CV,Tiberius CV,Book,Tiberius,
Cleopatra EI,Cleopatra EI,Book,Cleopatra,
Julius CIX,Julius CIX,Book,Julius,
Galba BVI,Galba BVI,Book,Galba,
Cleopatra EII,Cleopatra EII,Book,Cleopatra,
Julius FIII,Julius FIII,Book,Julius,
Caligula CIII,Caligula CIII,Book,Caligula,
Otho CI,Otho CI,Book,Otho,
Titus BXI,Titus BXI,Book,Titus,
Vespasian AXXIV,Vespasian AXXIV,Book,Vespasian,
Tiberius EVI,Tiberius EVI,Book,Tiberius,
Vespasian EXVII,Vespasian EXVII,Book,Vespasian,
Otho EIX,Otho EIX,Book,Otho,
Vespasian BXX,Vespasian BXX,Book,Vespasian,
Vespasian BXXII,Vespasian BXXII,Book,Vespasian,
Caligula DXII,Caligula DXII,Book,Caligula,
Caligula DIX,Caligula DIX,Book,Caligula,
Galba DVI,Galba DVI,Book,Galba,
Julius BIV,Julius BIV,Book,Julius,
Titus EXII,Titus EXII,Book,Titus,
Vitellius DVII,Vitellius DVII,Book,Vitellius,
Vespasian CXIV,Vespasian CXIV,Book,Vespasian,
Vespasian AIX,Vespasian AIX,Book,Vespasian,
Cleopatra FVII,Cleopatra FVII,Book,Cleopatra,
Vitellius CX,Vitellius CX,Book,Vitellius,
Nero AVII,Nero AVII,Book,Nero,
Tiberius AVI,Tiberius AVI,Book,Tiberius,
Cleopatra AII,Cleopatra AII,Book,Cleopatra,
Claudius BIV,Claudius BIV,Book,Claudius,
Cleopatra FII,Cleopatra FII,Book,Cleopatra,
Otho AXII,Otho AXII,Book,Otho,
Otho BXIV,Otho BXIV,Book,Otho,
Vitellius EXVII,Vitellius EXVII,Book,Vitellius,
Otho BX,Otho BX,Book,Otho,
Julius AIII,Julius AIII,Book,Julius,
Nero BX,Nero BX,Book,Nero,
Domitian XV,Domitian AXV,Book,Domitian,
Cleopatra AIII,Cleopatra AIII,Book,Cleopatra,
London British Library Additional MS 46410,London British Library Additional MS 46410,Book,London,
Titus EI,Titus EI,Book,Titus,
Cleopatra FI,Cleopatra FI,Book,Cleopatra,
Faustina AIV,Faustina AIV,Book,Faustina,
Claudius EIII,Claudius EIII,Book,Claudius,
Vitellius AVII,Vitellius AVII,Book,Vitellius,
Claudius DVI,Claudius DVI,Book,Claudius,
Claudius EIV,Claudius EIV,Book,Claudius,
Nero EVI,Nero EVI,Book,Nero,
Cleopatra EIV,Cleopatra EIV,Book,Cleopatra,
Nero DX,Nero DX,Book,Nero,
Tiberius CVII,Tiberius CVII,Book,Tiberius,
Galba DX,Galba DX,Book,Galba,
Claudius BIX,Claudius BIX,Book,Claudius,
Nero DVIII,Nero DVIII,Book,Nero,
Vitellius CVIII,Vitellius CVIII,Book,Vitellius,
Nero BVII,Nero BVII,Book,Nero,
Claudius AX,Claudius AX,Book,Claudius,
Appendix XLI,Appendix XLI,Book,Appendix,
Vespasian EIII,Vespasian EIII,Book,Vespasian,
Titus BIV,Titus BIV,Book,Titus,
Vitellius AI,Vitellius AI,Book,Vitellius,
Vitellius EXVI,Vitellius EXVI,Book,Vitellius,
Caligula EVIII,Caligula EVIII,Book,Caligula,
Cleopatra EIII,Cleopatra EIII,Book,Cleopatra,
Tiberius CIII,Tiberius CIII,Book,Tiberius,
Titus DXX,Titus DXX,Book,Titus,
Galba DIX,Galba DIX,Book,Galba,
Vitellius FXIX,Vitellius FXIX,Book,Vitellius,
Caligula EX,Caligula EX,Book,Caligula,
Julius EI,Julius EI,Book,Julius,
Caligula EXII,Caligula EXII,Book,Caligula,
Nero CI,Nero CI,Book,Nero,
Caligula AXII,Caligula AXII,Book,Caligula,
Tiberius AIX,Tiberius AIX,Book,Tiberius,
Vitellius FXVII,Vitellius FXVII,Book,Vitellius,
Cleopatra CX,Cleopatra CX,Book,Cleopatra,
Otho EVIII,Otho EVIII,Book,Otho,
Claudius CII,Claudius CII,Book,Claudius,
Claudius EVII,Claudius EVII,Book,Claudius,
Vespasian FXIII,Vespasian FXIII,Book,Vespasian,
Titus EXI,Titus EXI,Book,Titus,
Vitellius BII,Vitellius BII,Book,Vitellius,
Vespasian CI,Vespasian CI,Book,Vespasian,
London British Library Additional MS 33216,London British Library Additional MS 33216,Book,London,
Vitellius EXI,Vitellius EXI,Book,Vitellius,
Julius CII,Julius CII,Book,Julius,
Cleopatra AXIV,Cleopatra AXIV,Book,Cleopatra,
Caligula BV,Caligula BV,Book,Caligula,
Nero BIV,Nero BIV,Book,Nero,
Tiberius CII,Tiberius CII,Book,Tiberius,
Titus AXVI,Titus AXVI,Book,Titus,
Faustina BII,Faustina BII,Book,Faustina,
Caligula EII,Caligula EII,Book,Caligula,
Cleopatra FVI,Cleopatra FVI,Book,Cleopatra,
Otho AIX,Otho AIX,Book,Otho,
Caligula EI,Caligula EI,Book,Caligula,
Claudius AIII,Claudius AIII,Book,Claudius,
Titus EIX,Titus EIX,Book,Titus,
Vespasian AXII,Vespasian AXII,Book,Vespasian,
Julius CVIII,Julius CVIII,Book,Julius,
Vitellius DXI,Vitellius DXI,Book,Vitellius,
Titus CV,Titus CV,Book,Titus,
Vitellius CIV,Vitellius CIV,Book,Vitellius,
Julius AXI,Julius AXI,Book,Julius,
Vespasian BXIX,Vespasian BXIX,Book,Vespasian,
Julius EVIII,Julius EVIII,Book,Julius,
Tiberius AI,Tiberius AI,Book,Tiberius,
Galba CVI,Galba CVI,Book,Galba,
Domitian VIII,Domitian AVIII,Book,Domitian,
Titus DXI,Titus DXI,Book,Titus,
Augustus I,Augustus I,Book,Augustus,
Cleopatra AXII,Cleopatra AXII,Book,Cleopatra,
Faustina AV,Faustina AV,Book,Faustina,
Titus BIII,Titus BIII,Book,Titus,
Caligula BIV,Caligula BIV,Book,Caligula,
Vitellius DIX,Vitellius DIX,Book,Vitellius,
Nero BIII,Nero BIII,Book,Nero,
Otho BXIII,Otho BXIII,Book,Otho,
Claudius EI,Claudius EI,Book,Claudius,
Titus EVII,Titus EVII,Book,Titus,
Claudius BVI,Claudius BVI,Book,Claudius,
Tiberius BVII,Tiberius BVII,Book,Tiberius,
Cleopatra BXII,Cleopatra BXII,Book,Cleopatra,
Tiberius EIV,Tiberius EIV,Book,Tiberius,
Otho EVI,Otho EVI,Book,Otho,
Tiberius AII,Tiberius AII,Book,Tiberius,
Claudius BII,Claudius BII,Book,Claudius,
Nero DII,Nero DII,Book,Nero,
Claudius CIII,Claudius CIII,Book,Claudius,
Galba CIII,Galba CIII,Book,Galba,
Vespasian CII,Vespasian CII,Book,Vespasian,
Cleopatra DI,Cleopatra DI,Book,Cleopatra,
Galba DXI,Galba DXI,Book,Galba,
Domitian III,Domitian AIII,Book,Domitian,
Vespasian DXXI,Vespasian DXXI,Book,Vespasian,
Galba BIV,Galba BIV,Book,Galba,
Julius CV,Julius CV,Book,Julius,
Titus EVIII,Titus EVIII,Book,Titus,
Otho CXIV,Otho CXIV,Book,Otho,
Titus FIV,Titus FIV,Book,Titus,
Appendix XXXIX,Appendix XXXIX,Book,Appendix,
Claudius DVIII,Claudius DVIII,Book,Claudius,
Galba AX,Galba AX,Book,Galba,
Caligula EXI,Caligula EXI,Book,Caligula,
Augustus II,Augustus II,Book,Augustus,
Vespasian AXXII,Vespasian AXXII,Book,Vespasian,
Galba DXII,Galba DXII,Book,Galba,
Vitellius CXI,Vitellius CXI,Book,Vitellius,
Julius AI,Julius AI,Book,Julius,
Claudius DX,Claudius DX,Book,Claudius,
Claudius AI,Claudius AI,Book,Claudius,
Titus BXII,Titus BXII,Book,Titus,
Otho DI,Otho DI,Book,Otho,
Vespasian BII,Vespasian BII,Book,Vespasian,
Domitian XI,Domitian AXI,Book,Domitian,
Tiberius B1,Tiberius B1,Book,Tiberius,
Otho BXI,Otho BXI,Book,Otho,
Nero CIX,Nero CIX,Book,Nero,
Tiberius EV,Tiberius EV,Book,Tiberius,
Otho CVIII,Otho CVIII,Book,Otho,
Vitellius EVI,Vitellius EVI,Book,Vitellius,
Vespasian AVIII,Vespasian AVIII,Book,Vespasian,
Titus EXV,Titus EXV,Book,Titus,
Galba CIV,Galba CIV,Book,Galba,
Titus BX,Titus BX,Book,Titus,
Galba CX,Galba CX,Book,Galba,
Vespasian BXXIII,Vespasian BXXIII,Book,Vespasian,
Vespasian AXIV,Vespasian AXIV,Book,Vespasian,
Nero BVIII,Nero BVIII,Book,Nero,
Faustina EVII,Faustina EVII,Book,Faustina,
Otho BVI,Otho BVI,Book,Otho,
Caligula CIX,Caligula CIX,Book,Caligula,
Caligula DVIII,Caligula DVIII,Book,Caligula,
Titus AXXVII,Titus AXXVII,Book,Titus,
Julius DII,Julius DII,Book,Julius,
Vespasian AXIII,Vespasian AXIII,Book,Vespasian,
Titus EII,Titus EII,Book,Titus,
Julius EIII,Julius EIII,Book,Julius,
Tiberius BXIII,Tiberius BXIII,Book,Tiberius,
Julius DVI,Julius DVI,Book,Julius,
Cleopatra FIII,Cleopatra FIII,Book,Cleopatra,
Caligula EIV,Caligula EIV,Book,Caligula,
Faustina BV,Faustina BV,Book,Faustina,
Vespasian DVI,Vespasian DVI,Book,Vespasian,
Claudius DVII,Claudius DVII,Book,Claudius,
Nero CV,Nero CV,Book,Nero,
Augustus I.II32,Augustus I.II32,Book,Augustus,
Galba BIII,Galba BIII,Book,Galba,
Caligula DX,Caligula DX,Book,Caligula,
Otho EX,Otho EX,Book,Otho,
Caligula EIII,Caligula EIII,Book,Caligula,
Cleopatra DV,Cleopatra DV,Book,Cleopatra,
Titus DII,Titus DII,Book,Titus,
Cleopatra CVIII,Cleopatra CVIII,Book,Cleopatra,
Vitellius EXVIII,Vitellius EXVIII,Book,Vitellius,
Caligula EV,Caligula EV,Book,Caligula,
Galba BII,Galba BII,Book,Galba,
Vespasian FIX,Vespasian FIX,Book,Vespasian,
Galba DV,Galba DV,Book,Galba,
Vitellius CVI,Vitellius CVI,Book,Vitellius,
Nero DVI,Nero DVI,Book,Nero,
Cleopatra CII,Cleopatra CII,Book,Cleopatra,
Vitellius BVIII,Vitellius BVIII,Book,Vitellius,
Vitellius FXII,Vitellius FXII,Book,Vitellius,
Galba CI,Galba CI,Book,Galba,
Claudius AXI,Claudius AXI,Book,Claudius,
Claudius EVIII,Claudius EVIII,Book,Claudius,
Galba AXVIII,Galba AXVIII,Book,Galba,
Cleopatra CI,Cleopatra CI,Book,Cleopatra,
Nero CVIII,Nero CVIII,Book,Nero,
Faustina BVII,Faustina BVII,Book,Faustina,
Titus CX,Titus CX,Book,Titus,
Vespasian DX,Vespasian DX,Book,Vespasian,
Titus BI,Titus BI,Book,Titus,
Faustina BIV,Faustina BIV,Book,Faustina,
Titus EVI,Titus EVI,Book,Titus,
Titus BII,Titus BII,Book,Titus,
Titus BXIII,Titus BXIII,Book,Titus,
Tiberius AX,Tiberius AX,Book,Tiberius,
Vitellius CXVII,Vitellius CXVII,Book,Vitellius,
Faustina BIII,Faustina BIII,Book,Faustina,
Nero EI,Nero EI,Book,Nero,
Otho BV,Otho BV,Book,Otho,
Galba DVII,Galba DVII,Book,Galba,
Otho EVII,Otho EVII,Book,Otho,
Nero EV,Nero EV,Book,Nero,
Domitian I,Domitian AI,Book,Domitian,
Titus DXII,Titus DXII,Book,Titus,
Domitian XVIII,Domitian AXVIII,Book,Domitian,
Caligula AIII,Caligula AIII,Book,Caligula,
Claudius BVII,Claudius BVII,Book,Claudius,
Galba BIX,Galba BIX,Book,Galba,
Vitellius DII,Vitellius DII,Book,Vitellius,
Vitellius BXXI,Vitellius BXXI,Book,Vitellius,
Vitellius CIX,Vitellius CIX,Book,Vitellius,
Vespasian FVII,Vespasian FVII,Book,Vespasian,
Galba DVIII,Galba DVIII,Book,Galba,
Galba AIX,Galba AIX,Book,Galba,
Caligula DVI,Caligula DVI,Book,Caligula,
Caligula DI,Caligula DI,Book,Caligula,
Galba BVII,Galba BVII,Book,Galba,
Julius CVI,Julius CVI,Book,Julius,
Nero DIII,Nero DIII,Book,Nero,
Galba AVIII,Galba AVIII,Book,Galba,
Tiberius AV,Tiberius AV,Book,Tiberius,
Vespasian DIV,Vespasian DIV,Book,Vespasian,
Claudius CIX,Claudius CIX,Book,Claudius,
Galba CXI,Galba CXI,Book,Galba,
Galba BX,Galba BX,Book,Galba,
Caligula DVII,Caligula DVII,Book,Caligula,
Cambridge University Library Additional MS 3578,Cambridge University Library Additional MS 3578,Book,Cambridge,
Julius FXI,Julius FXI,Book,Julius,
Titus BVI,Titus BVI,Book,Titus,
Galba AI,Galba AI,Book,Galba,
Claudius CIV,Claudius CIV,Book,Claudius,
Vitellius AII,Vitellius AII,Book,Vitellius,
Vespasian AVI,Vespasian AVI,Book,Vespasian,
Vitellius EVIII,Vitellius EVIII,Book,Vitellius,
Claudius BV,Claudius BV,Book,Claudius,
London British Library Harley MS 988,London British Library Harley MS 988,Book,London,
Galba BI,Galba BI,Book,Galba,
Otho BIII,Otho BIII,Book,Otho,
Titus EX,Titus EX,Book,Titus,
Cleopatra CVII,Cleopatra CVII,Book,Cleopatra,
Titus FI,Titus FI,Book,Titus,
Titus DI,Titus DI,Book,Titus,
Julius AII,Julius AII,Book,Julius,
Caligula AVIII,Caligula AVIII,Book,Caligula,
Augustus I.II34,Augustus I.II34,Book,Augustus,
Tiberius EI,Tiberius EI,Book,Tiberius,
Otho CVII,Otho CVII,Book,Otho,
Nero AXV,Nero AXV,Book,Nero,
Vitellius AVIII,Vitellius AVIII,Book,Vitellius,
Julius DIII,Julius DIII,Book,Julius,
Nero AV,Nero AV,Book,Nero,
Cleopatra BXIII,Cleopatra BXIII,Book,Cleopatra,
Cleopatra DIX,Cleopatra DIX,Book,Cleopatra,
Galba DI,Galba DI,Book,Galba,
Nero AVIII,Nero AVIII,Book,Nero,
Domitian V,Domitian AV,Book,Domitian,
Faustina CIII,Faustina CIII,Book,Faustina,
Tiberius BX,Tiberius BX,Book,Tiberius,
Claudius EV,Claudius EV,Book,Claudius,
Vespasian EII,Vespasian EII,Book,Vespasian,
Otho AXIV,Otho AXIV,Book,Otho,
Titus CVI,Titus CVI,Book,Titus,
Claudius AIV,Claudius AIV,Book,Claudius,
Julius BXIII,Julius BXIII,Book,Julius,
Julius FX,Julius FX,Book,Julius,
Tiberius CVI,Tiberius CVI,Book,Tiberius,
Julius CIII,Julius CIII,Book,Julius,
Galba DIV,Galba DIV,Book,Galba,
Cleopatra BIII,Cleopatra BIII,Book,Cleopatra,
Caligula AIV,Caligula AIV,Book,Caligula,
Tiberius AXV,Tiberius AXV,Book,Tiberius,
Vitellius BV,Vitellius BV,Book,Vitellius,
Titus AXXIII,Titus AXXIII,Book,Titus,
Vespasian DXVIII,Vespasian DXVIII,Book,Vespasian,
Vitellius AXII,Vitellius AXII,Book,Vitellius,
Tiberius BIV,Tiberius BIV,Book,Tiberius,
Vitellius FV,Vitellius FV,Book,Vitellius,
Vitellius AIV,Vitellius AIV,Book,Vitellius,
Vitellius EV,Vitellius EV,Book,Vitellius,
Julius BIX,Julius BIX,Book,Julius,
Claudius DIII,Claudius DIII,Book,Claudius,
Otho EIV,Otho EIV,Book,Otho,
Vitellius DXVIII,Vitellius DXVIII,Book,Vitellius,
Vitellius DXX,Vitellius DXX,Book,Vitellius,
Titus AXVII,Titus AXVII,Book,Titus,
Vespasian AII,Vespasian AII,Book,Vespasian,
Otho EI,Otho EI,Book,Otho,
Otho CX,Otho CX,Book,Otho,
Vitellius EIV,Vitellius EIV,Book,Vitellius,
Otho EV,Otho EV,Book,Otho,
Galba CII,Galba CII,Book,Galba,
Otho EXI,Otho EXI,Book,Otho,
Vitellius DXVII,Vitellius DXVII,Book,Vitellius,
Faustina EIX,Faustina EIX,Book,Faustina,
Julius DI,Julius DI,Book,Julius,
Nero CX,Nero CX,Book,Nero,
Vitellius BI,Vitellius BI,Book,Vitellius,
Vespasian DXV,Vespasian DXV,Book,Vespasian,
Titus BIX,Titus BIX,Book,Titus,
Tiberius EVIII,Tiberius EVIII,Book,Tiberius,
Julius EII,Julius EII,Book,Julius,
Caligula CII,Caligula CII,Book,Caligula,
Titus EV,Titus EV,Book,Titus,
Titus F II,Titus F II,Book,Titus,
Augustus I.II31,Augustus I.II31,Book,Augustus,
Nero BII,Nero BII,Book,Nero,
Claudius CVIII,Claudius CVIII,Book,Claudius,
Titus EXIV,Titus EXIV,Book,Titus,
Otho AXVI,Otho AXVI,Book,Otho,
Nero BVI,Nero BVI,Book,Nero,
Oxford Queens College MS 54,Oxford Queens College MS 54,Book,Oxford,
Cleopatra FIV,Cleopatra FIV,Book,Cleopatra,
Galba CV,Galba CV,Book,Galba,
Galba DII,Galba DII,Book,Galba,
Titus EXVI,Titus EXVI,Book,Titus,
Vitellius CIII,Vitellius CIII,Book,Vitellius,
Cleopatra FV,Cleopatra FV,Book,Cleopatra,
Galba DIII,Galba DIII,Book,Galba,
Galba BXI,Galba BXI,Book,Galba,
Appendix L,Appendix L,Book,Appendix,
Faustina EI,Faustina EI,Book,Faustina,
Augustus I.II35,Augustus I.II35,Book,Augustus,
Faustina AIX,Faustina AIX,Book,Faustina,
Vitellius AVI,Vitellius AVI,Book,Vitellius,
London Society Of Antiquaries MS 116,London Society Of Antiquaries MS 116,Book,London,
Faustina CIV,Faustina CIV,Book,Faustina,
Cleopatra BV,Cleopatra BV,Book,Cleopatra,
Vespasian CXII,Vespasian CXII,Book,Vespasian,
Caligula EIX,Caligula EIX,Book,Caligula,
Vespasian AI,Vespasian AI,Book,Vespasian,
Julius CIV,Julius CIV,Book,Julius,
Vespasian AV,Vespasian AV,Book,Vespasian,
Titus EXIII,Titus EXIII,Book,Titus,
Nero DV,Nero DV,Book,Nero,
Augustus I.II33,Augustus I.II33,Book,Augustus,
Caligula CI,Caligula CI,Book,Caligula,
Faustina BI,Faustina BI,Book,Faustina,
Nero AXVI,Nero AXVI,Book,Nero,
Galba BVIII,Galba BVIII,Book,Galba,
Faustina CV,Faustina CV,Book,Faustina,
Vitellius FXVIII,Vitellius FXVIII,Book,Vitellius,
Galba CVII,Galba CVII,Book,Galba,
Galba CIX,Galba CIX,Book,Galba,
Faustina CII,Faustina CII,Book,Faustina,
Vitellius DX,Vitellius DX,Book,Vitellius,
Tiberius CIX,Tiberius CIX,Book,Tiberius,
Galba BV,Galba BV,Book,Galba,
Vitellius DV,Vitellius DV,Book,Vitellius,
London British Library Royal MS 16 CXXV,London British Library Royal MS 16 CXXV,Book,London,
Vitellius CV,Vitellius CV,Book,Vitellius,
Galba EX,Galba EX,Book,Galba,
Titus DXXV,Titus DXXV,Book,Titus,
Oxford Bodleian Library MS Dodsworth 76 Sc 5018,Oxford Bodleian Library MS Dodsworth 76 Sc 5018,Book,Oxford,
Cleopatra EV,Cleopatra EV,Book,Cleopatra,
Nero CIII,Nero CIII,Book,Nero,
Galba EIII,Galba EIII,Book,Galba,
Nero AXVII,Nero AXVII,Book,Nero,
