ID,Label,Type, ESA, note
John Selden,John Selden,Person, False,
Lord William Howard,Lord William Howard,Person, False,
Lord William Howard|Nicholas Roscarrock,Lord William Howard|Nicholas Roscarrock,Person, False,
William Watts,William Watts,Person, False,
Augustine Vincent,Augustine Vincent,Person, False,
Richard St George,Richard St George,Person, False,
Edward Herbert,Edward Herbert,Person, False,
William Camden,William Camden,Person, True,
Hart,Hart,Person, False,
unidentified borrower|James Ussher,unidentified borrower|James Ussher,Person, False,
John Strype,John Strype,Person, False,
Arthur Agarde,Arthur Agarde,Person, True,
Henry Howard,Henry Howard,Person, False,
Francis Bacon,Francis Bacon,Person, False,
John Bradshaw,John Bradshaw,Person, False,
Bulstrode Whitelocke,Bulstrode Whitelocke,Person, False,
Peter Balle,Peter Balle,Person, False,
Richard Bancroft,Richard Bancroft,Person, False,
unidentified borrower,unidentified borrower,Person, False,
James Ussher,James Ussher,Person, False,
Francis Tate,Francis Tate,Person, True,
James Ussher|William Laud|George Abbot,James Ussher|William Laud|George Abbot,Person, False,
Francis Tate|John Harington’s tutor|William Crashaw,Francis Tate|John Harington’s tutor|William Crashaw,Person, False,
John Doyly,John Doyly,Person, False, relation to Thomas?
Mr Beston,Mr Beston,Person, False,
Augustine Lindsell,Augustine Lindsell,Person, False,
Henry Montagu,Henry Montagu,Person, False,
Thomas Coventry|John Borough,Thomas Coventry|John Borough,Person, False,
George Buc,George Buc,Person, False,
William Le Neve,William Le Neve,Person, False,
Henry Spelman,Henry Spelman,Person, True,
"Samuel Roper, senior","Samuel Roper, senior",Person, False,
Henry Bourchier,Henry Bourchier,Person, True,
Patrick Young,Patrick Young,Person, False,
St Lo Kniveton,St Lo Kniveton,Person, False,
Robert Cecil,Robert Cecil,Person, False,
Thomas Howard,Thomas Howard,Person, False,
Nicolas-Claude Fabri de Peirese,Nicolas-Claude Fabri de Peirese,Person, False,
John Everard,John Everard,Person, False,
Thomas Wilson,Thomas Wilson,Person, False,
Elias Ashmole,Elias Ashmole,Person, False,
Basil Brooke,Basil Brooke,Person, False,
Edward Coke,Edward Coke,Person, False,
Robert Bowyer,Robert Bowyer,Person, True,
John Lambe,John Lambe,Person, False,
Francis Crane,Francis Crane,Person, False,
Thomas Wilson|Robert Cecil,Thomas Wilson|Robert Cecil,Person, False,
Daniel Dunn,Daniel Dunn,Person, False,
George Carew,George Carew,Person, False, brother Richard was in ESA
Richard Bancroft|John Pory,Richard Bancroft|John Pory,Person, False,
Richard Montague,Richard Montague,Person, False,
William Dugdale,William Dugdale,Person, False,
John Donne,John Donne,Person, False,
James Ware,James Ware,Person, False,
William Lisle,William Lisle,Person, False,
Humphrey Henchman,Humphrey Henchman,Person, False,
John Williams|John Selden,John Williams|John Selden,Person, False,
Richard Bancroft|George Abbot,Richard Bancroft|George Abbot,Person, False,
Benjamin Jonson,Benjamin Jonson,Person, False,
Godfrey Goodman,Godfrey Goodman,Person, False,
John Speed,John Speed,Person, False,
Augustine Baker,Augustine Baker,Person, False,
Robert Drury,Robert Drury,Person, False,
Thomas or Samuel Roper,Thomas or Samuel Roper,Person, False,
Simonds D’Ewes,Simonds D’Ewes,Person, False,
William Crashaw,William Crashaw,Person, False,
John Williams,John Williams,Person, False,
John Barkham,John Barkham,Person, False,
Ralph Brooke,Ralph Brooke,Person, False,
Fulke Greville,Fulke Greville,Person, False,
Samuel Ward,Samuel Ward,Person, False,
Spencer Compton,Spencer Compton,Person, False, Father in ESA?
Henry Savile,Henry Savile,Person, False, Relation to John?
John Speed|John Barkham,John Speed|John Barkham,Person, False,
Francis Tate|John Dodderidge,Francis Tate|John Dodderidge,Person, False,
John Dodderidge,John Dodderidge,Person, True,
Mr Walters,Mr Walters,Person, False,
Thomas Coventry,Thomas Coventry,Person, False,
Richard Cecil,Richard Cecil,Person, False,
Scipio Le Squyer,Scipio Le Squyer,Person, False,
Mr Morgan,Mr Morgan,Person, False,
James I,James I,Person, False,
Thomas Shirley,Thomas Shirley,Person, False,
Nicholas Gilborne,Nicholas Gilborne,Person, False,
Abraham Wheloc,Abraham Wheloc,Person, False,
Thomas Smith,Thomas Smith,Person, False,
Henry (or John) Hobart,Henry (or John) Hobart,Person, False,
Brian Twyne,Brian Twyne,Person, False,
William Noy,William Noy,Person, False,
Oliver St John,Oliver St John,Person, False,
Augustine Vincent|John Selden,Augustine Vincent|John Selden,Person, False,
"‘Mr Hall’, Henry Fanshaw’s servant","‘Mr Hall’, Henry Fanshaw’s servant",Person, False,
Inigo Jones,Inigo Jones,Person, False,
Humfrey Wanley,Humfrey Wanley,Person, False,
Samuel Pepys,Samuel Pepys,Person, False,
Christopher Hatton,Christopher Hatton,Person, False,
Arthur Capell,Arthur Capell,Person, False,
Richard Bancroft|Robert Cecil,Richard Bancroft|Robert Cecil,Person, False,
Bulstrode Whitelocke|Robert Cecil,Bulstrode Whitelocke|Robert Cecil,Person, False, Father in ESA
Richard Perrincheif,Richard Perrincheif,Person, False,
Povey,Povey,Person, False,
John Harington,John Harington,Person, False,
John Hayward,John Hayward,Person, False,
John Selden|Augustine Vincent,John Selden|Augustine Vincent,Person, False,
James Ley,James Ley,Person, True,
Francis Fowler,Francis Fowler,Person, False,
George Allington,George Allington,Person, False,
Lawrence Tanfield,Lawrence Tanfield,Person, False,
John Bernard,John Bernard,Person, False,
Mr Lassells of Notinghamshir by Newwark|St Lo Kniveton,Mr Lassells of Notinghamshir by Newwark|St Lo Kniveton,Person, False,
William Greene,William Greene,Person, False,
Godfrey Wildbore,Godfrey Wildbore,Person, False,
Dudley Carleton,Dudley Carleton,Person, False,
Patrick Young|Samuel Ward,Patrick Young|Samuel Ward,Person, False,
George Calvert,George Calvert,Person, False,
Roger Owen,Roger Owen,Person, False,
Richard James,Richard James,Person, False,
Mr Colwell,Mr Colwell,Person, False,
Ralph Starkey,Ralph Starkey,Person, False,
John Borough,John Borough,Person, False,
Rob Scauen,Rob Scauen,Person, False,
John Egerton,John Egerton,Person, False,
Thomas Brudenell,Thomas Brudenell,Person, False,
John Hough,John Hough,Person, False,
John Laughton,John Laughton,Person, False,
Paul Thomson,Paul Thomson,Person, False,
George Abbot,George Abbot,Person, False,
Henry Spelman|Henry Spelman,Henry Spelman|Henry Spelman,Person, False,
"John Speed, Arthur Agarde, or St Lo Kniveton","John Speed, Arthur Agarde, or St Lo Kniveton",Person, False,
William Burton,William Burton,Person, False,
Percy Herbert,Percy Herbert,Person, False,
Sidney Montague,Sidney Montague,Person, False,
Mr Gyze,Mr Gyze,Person, False,
William Cecil,William Cecil,Person, False,
Mr Taylor,Mr Taylor,Person, False,
Thomas Cannon,Thomas Cannon,Person, False,
John Pory,John Pory,Person, False,
Robert Cecil|William Cecil,Robert Cecil|William Cecil,Person, False,
Henry Williamson,Henry Williamson,Person, False,
Ralph Winwood|Mr Waight,Ralph Winwood|Mr Waight,Person, False,
King Charles II,King Charles II,Person, False,
John Lambe|Fronton du Duc,John Lambe|Fronton du Duc,Person, False,
John Selden|Ralph Starkey,John Selden|Ralph Starkey,Person, False,
Guillim,Guillim,Person, False,
Francis Junius,Francis Junius,Person, False,
Jaspar Gryffyth,Jaspar Gryffyth,Person, False,
Francis Tate|William Camden,Francis Tate|William Camden,Person, False,
James Ussher|Robert Cecil,James Ussher|Robert Cecil,Person, False,
Augustine Vincent|St Lo Kniveton,Augustine Vincent|St Lo Kniveton,Person, False,
Richard Gascoigne,Richard Gascoigne,Person, False,
Mr [ Bartholomew] Cotton of the Exchequer,Mr [ Bartholomew] Cotton of the Exchequer,Person, False,
Robert Bertie,Robert Bertie,Person, False,
Thomas Allen,Thomas Allen,Person, False,
‘Mr Randall’|‘Mr Attorney’ Hobart,‘Mr Randall’|‘Mr Attorney’ Hobart,Person, False,
Lord William Howard|Basil Brooke,Lord William Howard|Basil Brooke,Person, False,
Jarvis Bradgate,Jarvis Bradgate,Person, False,
Mr Jonston,Mr Jonston,Person, False,
John Lambe|Henry Hickman,John Lambe|Henry Hickman,Person, False,
Clement Edmunds,Clement Edmunds,Person, False,
Sir Thomas Cotton's ‘cosen’,Sir Thomas Cotton's ‘cosen’,Person, False,
Henry Elsyng,Henry Elsyng,Person, False,
Edward Dering,Edward Dering,Person, False,
unidentified borrower|Mr Husser|Mr Sargent Barker|James Ussher,unidentified borrower|Mr Husser|Mr Sargent Barker|James Ussher,Person, False,
Ralph Winwood,Ralph Winwood,Person, False,
Thomas Ham[p]son,Thomas Ham[p]son,Person, False,
Gerard Langbaine,Gerard Langbaine,Person, False,
Fitton,Fitton,Person, False,
Henry Hyde,Henry Hyde,Person, False,
unidentified borrower|George Allington|Patrick Young,unidentified borrower|George Allington|Patrick Young,Person, False,
Arthur Agarde|Walter Raleigh,Arthur Agarde|Walter Raleigh,Person, False,
Hugh Holland,Hugh Holland,Person, False,
William Segar,William Segar,Person, False,
Roger Dodsworth,Roger Dodsworth,Person, False,